Name,Rating
Patang - The Revolving Restaurant - Ashram Road - Ahmedabad,
Babu Chinese Corner - Dahisar East - Mumbai,4.0
Talab Cafe - Moti Bagh - Delhi NCR,0.0
GD's Chinese Corner - Chembur - Mumbai,4.0
A2B: Adyar Ananda Bhavan - Kammanahalli - Bangalore,4.0
Palamuru Grill - Madhapur - Hyderabad,2.0
Fakhre Alam - Aminabad - Lucknow,0.0
Hoagies - Harsh Nagar - Kanpur,0.0
U.S. Pizza - Tippasandra Road - Bangalore,4.0
Baby Cakes & Fast Food - Gajuwaka - Visakhapatnam,1.0
La Boulangere - Lonavala - Pune,0.0
BKC DIVE - Bandra Kurla Complex - Mumbai,
Juggernaut - Kailash Colony - New Delhi,
Donald's Pastry Shop - Sector 18 - Noida,4.0
Bajrang's Bikaner - NIT - Farzidabad,3.0
Indique - Rawaton ka bass - Jodhpur,
Cafe Italiano - Kulathoor - Trivandrum,1.0
Royal Dhaba - DLF Phase 3 - Gurgaon,0.0
Hotel Pranali - Kopar Khairane - Navi Mumbai,0.0
Sonakshi Sharma's Family Restaurant - Koramangala - Bangalore,1.0
Tea Villa Cafe - Kandivali West - Mumbai,
Haji Ali Juice Centre - Mahalaxmi - Mumbai,
Treasure Island - Gandipet - Hyderabad,
Retreat Restaurant - RT Nagar - Bangalore,
Kerala Cafe - JNU - Delhi,3.6
Sridevi Veg Restaurant - Santacruz - Mumbai,
Smokin' Joe's - Alwarpet - Chennai,0.0
Shiva Valley - Anjuna Beach - Anjuna - Goa,
Corina Restaurant and Bar - Panaji - Goa,4.0
Hotel Nandini - Begumpet - Hyderabad,2.5
Baghban Restaurant - Camp - Pune,
The Great Punjab - Bandra - Mumbai,1.0
Dsk Dhaba - Waghbil Naka - Thane,0.0
Folks Pub - Civil Lines - Agra,0.0
Surbhi Restaurant - Naroda - Ahmedabad,4.5
Barley & Grapes Cafe - Phoenix Market City - Mahadevapura - Bangalore,5.0
Fithulk - Karve Nagar - Pune,0.0
Atom Lounge And Bar - Dwarka - New Delhi,0.0
Cake Dior - Koregaon Park - Pune,3.5
Kansar Gujarati Thali - Adajan Gam - Surat,5.0
Patang - The Revolving Restaurant - Ashram Road - Ahmedabad,
Babu Chinese Corner - Dahisar East - Mumbai,4.0
Talab Cafe - Moti Bagh - Delhi NCR,0.0
GD's Chinese Corner - Chembur - Mumbai,4.0
A2B: Adyar Ananda Bhavan - Kammanahalli - Bangalore,4.0
Palamuru Grill - Madhapur - Hyderabad,2.0
Fakhre Alam - Aminabad - Lucknow,0.0
Hoagies - Harsh Nagar - Kanpur,0.0
U.S. Pizza - Tippasandra Road - Bangalore,4.0
Baby Cakes & Fast Food - Gajuwaka - Visakhapatnam,1.0
La Boulangere - Lonavala - Pune,0.0
BKC DIVE - Bandra Kurla Complex - Mumbai,
Juggernaut - Kailash Colony - New Delhi,
Donald's Pastry Shop - Sector 18 - Noida,4.0
Bajrang's Bikaner - NIT - Farzidabad,3.0
Indique - Rawaton ka bass - Jodhpur,
Cafe Italiano - Kulathoor - Trivandrum,1.0
Royal Dhaba - DLF Phase 3 - Gurgaon,0.0
Hotel Pranali - Kopar Khairane - Navi Mumbai,0.0
Sonakshi Sharma's Family Restaurant - Koramangala - Bangalore,1.0
Tea Villa Cafe - Kandivali West - Mumbai,
Haji Ali Juice Centre - Mahalaxmi - Mumbai,
Treasure Island - Gandipet - Hyderabad,
Retreat Restaurant - RT Nagar - Bangalore,
Kerala Cafe - JNU - Delhi,3.6
Sridevi Veg Restaurant - Santacruz - Mumbai,
Smokin' Joe's - Alwarpet - Chennai,0.0
Shiva Valley - Anjuna Beach - Anjuna - Goa,
Corina Restaurant and Bar - Panaji - Goa,4.0
